date,Value,Geography,Occupation,Year of Arrival,Country of Birth
2011,6013,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 2001-2011,Middle East and Asia: Pakistan
2011,18670,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 2001-2011,Middle East and Asia: Other
2011,2230,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 2001-2011,The Americas and the Caribbean: Canada
2011,8801,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 2001-2011,The Americas and the Caribbean: United States
2011,678,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 2001-2011,The Americas and the Caribbean: Jamaica
2011,5071,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 2001-2011,The Americas and the Caribbean: Other
2011,9400,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 2001-2011,"Antarctica, Oceania and other"
2011,3775101,England and Wales (K04000001),2. Professional occupations,Born in the UK,Europe: United Kingdom
2011,0,England and Wales (K04000001),2. Professional occupations,Born in the UK,Europe: Ireland
2011,0,England and Wales (K04000001),2. Professional occupations,Born in the UK,Europe: Other Europe: EU countries: Member countries in March 2001: France
2011,0,England and Wales (K04000001),2. Professional occupations,Born in the UK,Europe: Other Europe: EU countries: Member countries in March 2001: Germany
2011,0,England and Wales (K04000001),2. Professional occupations,Born in the UK,Europe: Other Europe: EU countries: Member countries in March 2001: Italy
2011,0,England and Wales (K04000001),2. Professional occupations,Born in the UK,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal (including Madeira and the Azores)
2011,0,England and Wales (K04000001),2. Professional occupations,Born in the UK,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001
2011,0,England and Wales (K04000001),2. Professional occupations,Born in the UK,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland
2011,0,England and Wales (K04000001),2. Professional occupations,Born in the UK,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries
2011,0,England and Wales (K04000001),2. Professional occupations,Born in the UK,Europe: Other Europe: Rest of Europe
2011,0,England and Wales (K04000001),2. Professional occupations,Born in the UK,Africa: Nigeria
2011,0,England and Wales (K04000001),2. Professional occupations,Born in the UK,Africa: South Africa
2011,0,England and Wales (K04000001),2. Professional occupations,Born in the UK,Africa: Other
