date,geography,geography code,Value,Age,Occupation,Highest Level of Qualification
2011,Yorkshire and The Humber,E12000003,9750,Age 16 to 24,4. Administrative and secretarial occupations,Level 3 qualifications
2011,East Midlands,E12000004,7660,Age 16 to 24,4. Administrative and secretarial occupations,Level 3 qualifications
2011,West Midlands,E12000005,10078,Age 16 to 24,4. Administrative and secretarial occupations,Level 3 qualifications
2011,East,E12000006,11586,Age 16 to 24,4. Administrative and secretarial occupations,Level 3 qualifications
2011,London,E12000007,13433,Age 16 to 24,4. Administrative and secretarial occupations,Level 3 qualifications
2011,South East,E12000008,15392,Age 16 to 24,4. Administrative and secretarial occupations,Level 3 qualifications
2011,South West,E12000009,9240,Age 16 to 24,4. Administrative and secretarial occupations,Level 3 qualifications
2011,Wales,W92000004,4717,Age 16 to 24,4. Administrative and secretarial occupations,Level 3 qualifications
2011,North East,E12000001,3084,Age 16 to 24,4. Administrative and secretarial occupations,Level 4 qualifications and above
2011,North West,E12000002,9747,Age 16 to 24,4. Administrative and secretarial occupations,Level 4 qualifications and above
2011,Yorkshire and The Humber,E12000003,6559,Age 16 to 24,4. Administrative and secretarial occupations,Level 4 qualifications and above
2011,East Midlands,E12000004,5295,Age 16 to 24,4. Administrative and secretarial occupations,Level 4 qualifications and above
2011,West Midlands,E12000005,7380,Age 16 to 24,4. Administrative and secretarial occupations,Level 4 qualifications and above
2011,East,E12000006,7380,Age 16 to 24,4. Administrative and secretarial occupations,Level 4 qualifications and above
2011,London,E12000007,20841,Age 16 to 24,4. Administrative and secretarial occupations,Level 4 qualifications and above
2011,South East,E12000008,11413,Age 16 to 24,4. Administrative and secretarial occupations,Level 4 qualifications and above
2011,South West,E12000009,6013,Age 16 to 24,4. Administrative and secretarial occupations,Level 4 qualifications and above
2011,Wales,W92000004,3697,Age 16 to 24,4. Administrative and secretarial occupations,Level 4 qualifications and above
2011,North East,E12000001,1046,Age 16 to 24,4. Administrative and secretarial occupations,Apprenticeships and other qualifications
